,시험명,전체,국어,영어,수학,과학,사회,역사,평균
116,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
117,AI진단평가,144,79.0,65.0,0.0,0.0,0.0,,28.8
118,AI진단평가,221,36.0,18.0,37.0,48.0,82.0,,44.2
119,AI진단평가,418,100.0,86.0,94.0,48.0,90.0,,83.6
120,AI진단평가,277,86.0,79.0,51.0,,61.0,,69.25
121,AI진단평가,402,72.0,93.0,76.0,,100.0,61.0,80.4
122,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
123,AI진단평가,514,86.0,100.0,77.0,82.0,100.0,69.0,85.66666666666667
124,AI진단평가,460,93.0,93.0,74.0,100.0,100.0,,92.0
125,AI진단평가,429,86.0,86.0,88.0,79.0,90.0,,85.8
126,AI진단평가,478,100.0,61.0,94.0,90.0,100.0,33.0,79.66666666666667
127,AI진단평가,339,100.0,93.0,56.0,,90.0,,84.75
128,AI진단평가,373,100.0,79.0,88.0,53.0,38.0,15.0,62.16666666666666
129,AI진단평가,340,100.0,72.0,54.0,53.0,61.0,,68.0
130,AI진단평가,241,93.0,93.0,9.0,,46.0,,60.25
131,AI진단평가,515,100.0,86.0,88.0,61.0,90.0,90.0,85.83333333333333
132,AI진단평가,383,100.0,65.0,82.0,,90.0,46.0,76.6
133,AI진단평가,240,86.0,93.0,61.0,,0.0,,60.0
134,AI진단평가,185,36.0,72.0,77.0,0.0,0.0,,37.0
135,AI진단평가,360,86.0,100.0,88.0,71.0,15.0,,72.0
136,AI진단평가,497,100.0,75.0,65.0,100.0,90.0,67.0,82.83333333333333
137,AI진단평가,449,79.0,100.0,88.0,82.0,100.0,,89.8
138,AI진단평가,426,93.0,93.0,70.0,53.0,56.0,61.0,71.0
139,AI진단평가,584,100.0,100.0,94.0,90.0,100.0,100.0,97.33333333333331
140,AI진단평가,315,86.0,100.0,60.0,,69.0,,78.75
141,AI진단평가,439,100.0,79.0,88.0,82.0,90.0,,87.8
142,AI진단평가,178,58.0,58.0,9.0,30.0,23.0,,35.6
143,AI진단평가,294,58.0,65.0,71.0,,100.0,,73.5
144,AI진단평가,161,54.0,61.0,46.0,,0.0,,40.25
145,AI진단평가,243,47.0,93.0,32.0,,71.0,,60.75
146,AI진단평가,329,86.0,100.0,76.0,0.0,67.0,,65.8
147,AI진단평가,340,79.0,72.0,89.0,,100.0,,85.0
148,AI진단평가,451,86.0,93.0,88.0,61.0,100.0,23.0,75.16666666666667
149,AI진단평가,261,93.0,75.0,37.0,,56.0,,65.25
150,AI진단평가,311,86.0,93.0,57.0,45.0,30.0,,62.2
151,AI진단평가,212,75.0,11.0,88.0,,38.0,,53.0
152,AI진단평가,358,86.0,100.0,72.0,,100.0,,89.5
153,AI진단평가,29,29.0,0.0,0.0,,0.0,,7.25
154,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
155,AI진단평가,363,100.0,100.0,57.0,53.0,53.0,,72.6
156,AI진단평가,134,0.0,18.0,9.0,46.0,61.0,,26.8
157,AI진단평가,483,93.0,68.0,76.0,90.0,100.0,56.0,80.5
158,AI진단평가,387,100.0,93.0,94.0,,100.0,,96.75
159,AI진단평가,90,79.0,11.0,0.0,0.0,0.0,0.0,15.0
160,AI진단평가,502,86.0,86.0,100.0,79.0,90.0,61.0,83.66666666666667
161,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
162,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
163,AI진단평가,457,86.0,79.0,46.0,67.0,100.0,79.0,76.16666666666667
164,AI진단평가,237,86.0,75.0,61.0,15.0,0.0,,47.4
165,AI진단평가,502,100.0,86.0,94.0,53.0,100.0,69.0,83.66666666666667
166,AI진단평가,100,100.0,0.0,0.0,,0.0,,25.0
167,AI진단평가,61,25.0,36.0,0.0,,0.0,,15.25
168,AI진단평가,478,100.0,86.0,65.0,79.0,100.0,48.0,79.66666666666667
169,AI진단평가,418,100.0,79.0,68.0,71.0,100.0,,83.6
170,AI진단평가,344,100.0,54.0,100.0,,90.0,,86.0
171,AI진단평가,350,79.0,86.0,66.0,48.0,71.0,,70.0
172,AI진단평가,333,72.0,72.0,65.0,53.0,71.0,,66.6
173,AI진단평가,353,86.0,93.0,74.0,,100.0,,88.25
174,AI진단평가,444,86.0,93.0,94.0,71.0,100.0,,88.8
175,AI진단평가,398,100.0,93.0,60.0,45.0,100.0,,79.6
176,AI진단평가,398,68.0,65.0,83.0,82.0,100.0,,79.6
177,AI진단평가,330,93.0,86.0,51.0,,100.0,,82.5
178,AI진단평가,417,86.0,93.0,77.0,71.0,90.0,,83.4
179,AI진단평가,431,93.0,79.0,57.0,56.0,100.0,46.0,71.83333333333333
180,AI진단평가,258,72.0,44.0,52.0,,90.0,,64.5
181,AI진단평가,391,100.0,75.0,63.0,82.0,71.0,,78.2
182,AI진단평가,394,100.0,86.0,51.0,67.0,90.0,,78.8
183,AI진단평가,197,22.0,86.0,51.0,,38.0,,49.25
184,AI진단평가,544,86.0,93.0,65.0,100.0,100.0,100.0,90.66666666666669
185,AI진단평가,415,86.0,93.0,83.0,71.0,82.0,,83.0
186,AI진단평가,384,93.0,86.0,65.0,71.0,46.0,23.0,64.0
187,AI진단평가,436,100.0,86.0,60.0,90.0,100.0,,87.2
188,AI진단평가,525,100.0,79.0,66.0,90.0,90.0,100.0,87.5
189,AI진단평가,382,100.0,86.0,76.0,30.0,90.0,,76.4
190,AI진단평가,421,93.0,79.0,88.0,,90.0,71.0,84.2
191,AI진단평가,511,100.0,100.0,88.0,100.0,100.0,23.0,85.16666666666667
192,AI진단평가,550,100.0,93.0,88.0,90.0,100.0,79.0,91.66666666666669
193,AI진단평가,349,75.0,100.0,74.0,,100.0,,87.25
194,AI진단평가,283,86.0,65.0,32.0,,100.0,,70.75
195,AI진단평가,507,86.0,100.0,72.0,90.0,90.0,69.0,84.5
196,AI진단평가,260,75.0,68.0,71.0,,46.0,,65.0
197,AI진단평가,431,100.0,72.0,88.0,71.0,100.0,,86.2
198,AI진단평가,361,79.0,72.0,52.0,56.0,79.0,23.0,60.16666666666666
199,AI진단평가,385,79.0,100.0,100.0,61.0,45.0,0.0,64.16666666666667
200,AI진단평가,506,100.0,100.0,68.0,90.0,100.0,48.0,84.33333333333333
201,AI진단평가,371,100.0,100.0,71.0,,100.0,,92.75
202,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
203,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
204,AI진단평가,422,86.0,61.0,65.0,82.0,90.0,38.0,70.33333333333333
205,AI진단평가,291,68.0,79.0,46.0,30.0,53.0,15.0,48.5
206,AI진단평가,427,93.0,72.0,82.0,90.0,90.0,,85.4
207,AI진단평가,347,93.0,75.0,34.0,69.0,61.0,15.0,57.833333333333336
208,AI진단평가,409,100.0,93.0,37.0,79.0,100.0,,81.8
209,AI진단평가,510,100.0,93.0,94.0,67.0,100.0,56.0,85.0
210,AI진단평가,172,100.0,72.0,0.0,,0.0,,43.0
211,AI진단평가,500,79.0,100.0,68.0,100.0,53.0,100.0,83.33333333333333
212,AI진단평가,478,100.0,100.0,88.0,100.0,90.0,,95.6
213,AI진단평가,409,100.0,100.0,77.0,53.0,79.0,,81.8
214,AI진단평가,29,29.0,0.0,0.0,0.0,0.0,,5.8
215,AI진단평가,436,100.0,79.0,56.0,45.0,100.0,56.0,72.66666666666667
216,AI진단평가,313,100.0,68.0,28.0,38.0,79.0,,62.6
217,AI진단평가,95,18.0,40.0,37.0,,0.0,,23.75
218,AI진단평가,235,51.0,33.0,27.0,53.0,71.0,,47.0
219,AI진단평가,331,93.0,65.0,62.0,48.0,63.0,,66.2
220,AI진단평가,560,100.0,93.0,77.0,100.0,100.0,90.0,93.33333333333331
221,AI진단평가,476,100.0,86.0,100.0,100.0,90.0,,95.2
222,AI진단평가,473,100.0,86.0,88.0,56.0,90.0,53.0,78.83333333333333
223,AI진단평가,453,100.0,61.0,70.0,71.0,90.0,61.0,75.5
224,AI진단평가,214,22.0,11.0,66.0,15.0,100.0,,42.8
225,AI진단평가,383,100.0,93.0,76.0,53.0,61.0,0.0,63.833333333333336
